"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","geometry","longitude","latitude","EFEACODE_key"
"0926","Grand Bassa","District # 3","Norwein","091411012","SA20","0914011012",9,14,11,12,617,322,295,154,"09","14","011","012",c(-9.18296015396663, 6.55637000747676),-9.18296015396663,6.55637000747676,"0914011012"
"0926","Grand Bassa","District # 3","Norwein","091411022","SA20","0914011022",9,14,11,22,614,319,295,154,"09","14","011","022",c(-9.24222078345784, 6.5037413836158),-9.24222078345784,6.5037413836158,"0914011022"
"0926","Grand Bassa","District # 3","Jeuwein","091410022","SA21","0914010022",9,14,10,22,461,250,211,1,"09","14","010","022",c(-9.2532373091201, 6.40382456929429),-9.2532373091201,6.40382456929429,"0914010022"
"0927","Grand Bassa","District # 2","Chan","090610032","SA65","0906010032",9,6,10,32,1349,664,685,284,"09","06","010","032",c(-9.76513598375285, 6.60274584198676),-9.76513598375285,6.60274584198676,"0906010032"
"0927","Grand Bassa","District # 2","Chan","090610022","SA65","0906010022",9,6,10,22,293,138,155,48,"09","06","010","022",c(-9.77053756034928, 6.61404833952723),-9.77053756034928,6.61404833952723,"0906010022"
"0927","Grand Bassa","District # 2","Chan","090610012","SA65","0906010012",9,6,10,12,501,244,257,109,"09","06","010","012",c(-9.83873327098646, 6.58536255366359),-9.83873327098646,6.58536255366359,"0906010012"
"0928","Grand Bassa","District # 2","Jungle","090609032","SA66","0906009032",9,6,9,32,282,150,132,66,"09","06","009","032",c(-9.70086835365614, 6.60319942678546),-9.70086835365614,6.60319942678546,"0906009032"
"0928","Grand Bassa","District # 2","Boeglayn","090607022","SA64","0906007022",9,6,7,22,646,310,336,97,"09","06","007","022",c(-9.63835926859906, 6.57768059035057),-9.63835926859906,6.57768059035057,"0906007022"
"0928","Grand Bassa","District # 2","Boeglayn","090607012","SA64","0906007012",9,6,7,12,843,394,449,145,"09","06","007","012",c(-9.69248718061689, 6.55944022051261),-9.69248718061689,6.55944022051261,"0906007012"
"0929","Grand Bassa","District # 3","Norwein","091411042","SA20","0914011042",9,14,11,42,676,346,330,137,"09","14","011","042",c(-9.34405473994097, 6.57762992499914),-9.34405473994097,6.57762992499914,"0914011042"
"0929","Grand Bassa","District # 3","Norwein","091411052","SA20","0914011052",9,14,11,52,636,325,311,145,"09","14","011","052",c(-9.23464344316841, 6.59295098444568),-9.23464344316841,6.59295098444568,"0914011052"
"0929","Grand Bassa","District # 3","Norwein","091411032","SA20","0914011032",9,14,11,32,1120,548,572,225,"09","14","011","032",c(-9.301001757243, 6.56010369888228),-9.301001757243,6.56010369888228,"0914011032"
"0930","Grand Bassa","District # 2","Gbor","090608022","SA67","0906008022",9,6,8,22,318,155,163,62,"09","06","008","022",c(-9.77276057735047, 6.72852212269247),-9.77276057735047,6.72852212269247,"0906008022"
"0930","Grand Bassa","District # 2","Gbor","090608032","SA67","0906008032",9,6,8,32,489,224,265,101,"09","06","008","032",c(-9.74443660060015, 6.70943958570242),-9.74443660060015,6.70943958570242,"0906008032"
"0930","Grand Bassa","District # 2","Jungle","090609012","SA66","0906009012",9,6,9,12,832,412,420,163,"09","06","009","012",c(-9.68978154736308, 6.66156630339958),-9.68978154736308,6.66156630339958,"0906009012"
