"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","geometry","X","Y","d"
4,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd","300407151","SA03","3004457151",30,4,457,151,347,169,178,73,"30","04","457","151",c(-10.7314313309372, 6.26581372075832),-10.7314313309372,6.26581372075832,0.555597700289012
4,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd","300407141","SA03","3004457141",30,4,457,141,219,115,104,52,"30","04","457","141",c(-10.7246363296986, 6.26344652695572),-10.7246363296986,6.26344652695572,0.340766492925701
5,"Montserrado","Greater Monrovia","Z1100 GSA Road Rockville","300411041","SA028","3004561041",30,4,561,41,474,232,242,89,"30","04","561","041",c(-10.7001219154408, 6.26279465105227),-10.7001219154408,6.26279465105227,0.21006450904416
5,"Montserrado","Greater Monrovia","Z1100 GSA Road Rockville","300411031","SA028","3004561031",30,4,561,31,430,200,230,75,"30","04","561","031",c(-10.7018448762514, 6.26261409046481),-10.7018448762514,6.26261409046481,0.168841643996066
5,"Montserrado","Greater Monrovia","Z1100 GSA Road Rockville","300411131","SA028","3004561131",30,4,561,131,378,175,203,69,"30","04","561","131",c(-10.6985047316241, 6.26188889782671),-10.6985047316241,6.26188889782671,0.0504840196366879
6,"Montserrado","Greater Monrovia","Z1100 Duport Road South","300415231","SA030","3004565231",30,4,565,231,530,239,291,85,"30","04","565","231",c(-10.6725134074801, 6.26530731321573),-10.6725134074801,6.26530731321573,0.329883706133809
6,"Montserrado","Greater Monrovia","Z1100 Duport Road South","300415251","SA030","3004565251",30,4,565,251,314,134,180,62,"30","04","565","251",c(-10.6753099271605, 6.26355509951463),-10.6753099271605,6.26355509951463,0.272310387708235
6,"Montserrado","Greater Monrovia","Z1100 Duport Road South","300415241","SA030","3004565241",30,4,565,241,425,219,206,74,"30","04","565","241",c(-10.6718909294273, 6.26233846509399),-10.6718909294273,6.26233846509399,0.1384949696587
7,"Montserrado","Greater Monrovia","Z800 Gbangaye Town","300406091","SA04","3004806091",30,4,806,91,521,265,256,96,"30","04","806","091",c(-10.7682026120638, 6.28632296038839),-10.7682026120638,6.28632296038839,0.238913750990048
7,"Montserrado","Greater Monrovia","Z800 Gbangaye Town","300406071","SA04","3004806071",30,4,806,71,479,219,260,117,"30","04","806","071",c(-10.7665134447074, 6.28699184780292),-10.7665134447074,6.28699184780292,0.231235023642563
7,"Montserrado","Greater Monrovia","Z700 Fish Market","300409031","SA01","3004709031",30,4,709,31,218,112,106,51,"30","04","709","031",c(-10.7699792378314, 6.28455885317074),-10.7699792378314,6.28455885317074,0.0441077282014067
8,"Montserrado","Greater Monrovia","Z900 Gaye Town Community","300407171","SA16","3004907171",30,4,907,171,606,293,313,129,"30","04","907","171",c(-10.7419364899421, 6.28693823972868),-10.7419364899421,6.28693823972868,0.273078385139433
8,"Montserrado","Greater Monrovia","Z900 Gaye Town Community","300407151","SA15","3004907151",30,4,907,151,646,315,331,132,"30","04","907","151",c(-10.7431608991987, 6.28454410510307),-10.7431608991987,6.28454410510307,0.267765625587573
8,"Montserrado","Greater Monrovia","Z900 Gaye Town Community","300407181","SA15","3004907141",30,4,907,141,563,263,300,115,"30","04","907","141",c(-10.7416672973977, 6.28358192837982),-10.7416672973977,6.28358192837982,0.142020181504092
9,"Montserrado","Greater Monrovia","Z1100 72nd Community","300418171","SA071","3004568171",30,4,568,171,1064,511,553,192,"30","04","568","171",c(-10.7114451126775, 6.28813671681001),-10.7114451126775,6.28813671681001,0.366965516995602
9,"Montserrado","Greater Monrovia","Z1100 72nd Community","300418161","SA068","3004568161",30,4,568,161,339,169,170,61,"30","04","568","161",c(-10.7144830068103, 6.2875466681902),-10.7144830068103,6.2875466681902,0.238265802441183
9,"Montserrado","Greater Monrovia","Z1100 Police Academy","300406151","SA039","3004556151",30,4,556,151,393,202,191,56,"30","04","556","151",c(-10.7133401920114, 6.28387057256867),-10.7133401920114,6.28387057256867,0.18762101402115
10,"Montserrado","Greater Monrovia","Z1100 Red Light","300421161","SA096","3004571161",30,4,571,161,496,251,245,98,"30","04","571","161",c(-10.6866984619892, 6.28778037763217),-10.6866984619892,6.28778037763217,0.203349545259563
10,"Montserrado","Greater Monrovia","Z1100 Red Light","300421171","SA096","3004571171",30,4,571,171,597,292,305,110,"30","04","571","171",c(-10.6860532990568, 6.28610431524602),-10.6860532990568,6.28610431524602,0.0857178039797349
10,"Montserrado","Greater Monrovia","Z1100 Red Light","300421251","SA097","3004571251",30,4,571,251,491,216,275,104,"30","04","571","251",c(-10.6871730255279, 6.28530038635267),-10.6871730255279,6.28530038635267,0.077905717885335
11,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","300425171","SA045","3004575171",30,4,575,171,424,201,223,70,"30","04","575","171",c(-10.6630807848225, 6.28608501939023),-10.6630807848225,6.28608501939023,0.486510141913228
11,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","300425131","SA048","3004575131",30,4,575,131,808,389,419,129,"30","04","575","131",c(-10.6576134892229, 6.28870523916958),-10.6576134892229,6.28870523916958,0.391646240489506
11,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","300425151","SA045","3004575151",30,4,575,151,657,300,357,99,"30","04","575","151",c(-10.6574238949624, 6.28208812841487),-10.6574238949624,6.28208812841487,0.372863461325685
12,"Montserrado","Greater Monrovia","Z500 Lynch / Center Streets","300406101","SA04","3004506101",30,4,506,101,595,313,282,142,"30","04","506","101",c(-10.809273002427, 6.30919928905295),-10.809273002427,6.30919928905295,0.135666879948341
12,"Montserrado","Greater Monrovia","Z500 Lynch / Center Streets","300406061","SA04","3004506061",30,4,506,61,446,231,215,116,"30","04","506","061",c(-10.8079085787356, 6.30972871086625),-10.8079085787356,6.30972871086625,0.114676941823675
